name;n;M;SD;Me;CI95;Асимметрия;Эксцесс
Объём РВС (м³);50;14620.0;16600.82;7500.0;"[9902.10; 19337.90]";1.26;0.22
Диаметр РВС (м);50;33.5;20.92;27.8;"[27.55; 39.45]";0.74;-0.72
Площадь пожара (м²);50;714.93;864.33;342.7;"[469.28; 960.57]";1.55;1.13
Ранг пожара;50;3.2;1.43;3.0;"[2.79; 3.61]";-0.06;-1.32
Препятствие крыши;50;0.29;0.3;0.3;"[0.21; 0.38]";0.37;-1.47
Число пенных атак;50;2.6;1.91;2.0;"[2.06; 3.14]";0.96;0.96
Доля успешных атак;50;0.2;0.32;0.0;"[0.11; 0.29]";1.59;1.39
Число инцидентов;50;0.8;1.12;0.0;"[0.48; 1.12]";1.36;0.95
Число решений РТП;50;9.62;4.51;10.0;"[8.34; 10.90]";0.08;-1.09
Длительность (мин);50;431.74;230.6;382.0;"[366.20; 497.28]";0.7;-0.48
Тип топлива (код);50;1.4;1.2;1.0;"[1.06; 1.74]";0.13;-1.49
Тип кровли (код);50;1.26;1.17;1.0;"[0.93; 1.59]";0.55;-1.18
